Ticker,Categoria,Empresa,Nome_Curto,Tipo_Papel,Setor,Industria
HGLG11,Fundo,Cshg Logistica - Fundo De Investimento Imobiliario,FII HGLG PAXCI,FII,Real Estate,REIT - Diversified
HGRE11,Fundo,CSHG Real Estate - Fundo de Investimento Imobiliario - FII,FII HGRE PAXCI,FII,Real Estate,REIT - Diversified
HGRU11,Fundo,Patria Renda Urbana - Fundo De Investimento Imobiliario,FII HGRU PAXCI,FII,Real Estate,REIT - Diversified
HTMX11,Fundo,FD Invest Imob Hotel Maxinvest,FII HOTEL MXCI,FII,Real Estate,REIT - Hotel & Motel
HSAF11,Fundo,Hsi Ativos Financeiros Fundos Investimentos Imoliarios,FII HSI CRI CI,FII,Real Estate,REIT - Diversified
HSLG11,Fundo,Hsi Logistica Fundo De Investimento Imobiliario,FII HSI LOG CI,FII,Real Estate,REIT - Diversified
HSML11,Fundo,Hsi Malls Fundo De Investimento Imobiliario,FII HSI MALLCI,FII,Financial Services,Asset Management
HFOF11,Fundo,Hedge Top Fofii 3 Fundo Investimento Imobilirio,FII HTOPFOF3CI,FII,Real Estate,REIT - Specialty
ITRI11,Fundo,Itau Total Return Fundo De Investimento Imobiliario,FII ITRI    CI,FII,Real Estate,REIT - Diversified
JSAF11,Fundo,Js Ativos Financeiros Fundo De Investimento Imobiliario,FII JS A FINCI,FII,Real Estate,REIT - Diversified
JSRE11,Fundo,JS Real Estate multigestão - FII fund,FII JS REAL CI,FII,Financial,REIT - Diversified
JSCR11,Fundo,FII JSCR    CI,FII JSCR    CI,FII,Real Estate,REIT - Diversified
KISU11,Fundo,Kilima Fundo De Investimento Em Cotas De Fundos Imobiliarios Suno 30,FII KILIMA  CI,FII,Real Estate,REIT - Diversified
KNRI11,Fundo,Kinea Renda Imobiliária Fundo de Investimento Imobiliário,FII KINEA   CI,FII,Financial,REIT - Diversified
KCRE11,Fundo,Kinea Creditas Fundo De Investimento Imobiliario - FII,FII KINEA CRCI,FII,Real Estate,REIT - Specialty
KNHF11,Fundo,Kinea Hedge Fund Fundo De Investimento Imobiliario,FII KINEA HFCI,FII,Financial Services,Asset Management
KNHY11,Fundo,Kinea High Yield Cri Fundo Investimento Imobiliario FII,FII KINEA HYCI,FII,Financial Services,Asset Management
KNIP11,Fundo,Kinea Indices Precos Fundo Investimento Imobiliario - FII,FII KINEA IPCI,FII,Real Estate,REIT - Diversified
KNCR11,Fundo,Kinea Rendimentos Imobiliários Fundo de Investimento Imobiliário - FII,FII KINEA RICI,FII,Real Estate,REIT - Mortgage
KNSC11,Fundo,Kinea Securities Fundo De Investimento Imobiliario – Fii,FII KINEA SCCI,FII,Real Estate,REIT - Residential
KNUQ11,Fundo,FII KINEA UNCI,FII KINEA UNCI,FII,Real Estate,REIT - Diversified
KFOF11,Fundo,Kinea Fundo Fundos De Investimento Imobiliario FII,FII KINEAFOFCI,FII,Financial Services,Asset Management
KIVO11,Fundo,Kilima Volkano Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII KIVO    CI,FII,Real Estate,REIT - Diversified
KORE11,Fundo,Kinea Oportunidades Real Estate Fundo De Investimento Imobiliario,FII KORE    CI,FII,Real Estate,REIT - Diversified
LIFE11,Fundo,Life Capital Partners Fundo De Investimentos Imobiliarios,FII LIFE    CI,FII,Real Estate,REIT - Diversified
LVBI11,Fundo,Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund,FII LVBI VBICI,FII,Real Estate,Real Estate Services
MANA11,Fundo,Manati Capital Hedge Fund Fundo De Investimento Imobiliario,FII MANATI  CI,FII,Real Estate,REIT - Specialty
MCCI11,Fundo,Fundo De Investimento Imobiliario Maua Capital Recebiveis Imobiliarios,FII MAUA    CI  ER,FII,Real Estate,REIT - Diversified
MCRE11,Fundo,Maua Capital Real Estate Fundo De Investimento Imobiliario,FII MAUA RE CI  ER,FII,Real Estate,REIT - Diversified
MXRF11,Fundo,Maxi Renda Fundo De Investimento Imobiliaro - FII,FII MAXI RENCI,FII,Real Estate,REIT - Diversified
MFII11,Fundo,Mérito Desenvolvimento Imobiliário I FII - Fundo de Investimento Imobiliário,FII MERITO ICI,FII,Real Estate,REIT - Diversified
OUJP11,Fundo,Ourinvest Jpp Fundo Investimento Imobiliario - Fii,FII OURI JPPCI,FII,Real Estate,REIT - Diversified
PATL11,Fundo,Patria Logistica Fundo De Investimento Imobiliario,FII PATL VBICI,FII,Real Estate,REIT - Industrial
PCIP11,Fundo,Fundo De Investimento Imobiliario VBI Credito,FII PCIP PAXCI,FII,Real Estate,REIT - Residential
PMIS11,Fundo,Paramis Hedge Fund Fundo De Investimento Imobiliario - Fii,FII PMIS    CI,FII,Real Estate,REIT - Specialty
PMLL11,Fundo,Patria Malls Fundo De Investimento Imobiliario,FII PMLL PAXCI,FII,Real Estate,REIT - Retail
PORD11,Fundo,Polo Fundo de Investimento Imobiliário - Recebíveis Imobiliários II - FII,FII POLO CRICI,FII,Real Estate,REIT - Diversified
PSEC11,Fundo,Patria Securities Fundo De Investimento Imobiliário - Responsabilidade Limitada,FII PSEC PAXCI,FII,Real Estate,REIT - Diversified
PVBI11,Fundo,Fundo De Investimento ImobiliarRio Vbi Prime Properties,FII PVBI VBICI,FII,Real Estate,REIT - Diversified
RPRI11,Fundo,RBR Premium Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII RBR PR  CI,FII,Real Estate,REIT - Specialty
RBRL11,Fundo,RBR Log FII,FII RBRL PAXCI,FII,Financial Services,Asset Management
RBRP11,Fundo,Fundo Investimento Imobiliario Rbr Properties Fii,FII RBRP PAXCI,FII,Financial Services,Asset Management
RBRR11,Fundo,Fundo Investimento Imobiliario - FII RBR Rendimento High Grade,FII RBRR PAXCI  ER,FII,Financial Services,Asset Management
RBRX11,Fundo,Rbr Alpha Plus Multiestrategia Real Estate Fundo De Investimento Imobiliario,FII RBRX PAXCI  ER,FII,Real Estate,REIT - Diversified
RBRY11,Fundo,Fundo Investimeto Imobiliario Rbr Private Credito Imobiliario,FII RBRY PAXCI  ER,FII,Financial Services,Asset Management
RECR11,Fundo,Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios,FII REC RECECI,FII,Real Estate,REIT - Diversified
RECT11,Fundo,Fundo De Investimento Imobiliario - FII UBS Office,FII REC RENDCI,FII,Financial Services,Asset Management
RBFM11,Fundo,FII RIOB MT CI,FII RIOB MT CI,FII,Real Estate,REIT - Mortgage
RCRB11,Fundo,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,FII RIOB RC CI,FII,Fundo Imobiliário,Imobiliário
RBVA11,Fundo,Fundo Invest Imobiliario Agencias Caixa - FII Fund,FII RIOB VA CI,FII,Financial,Asset Management
RZAK11,Fundo,Riza Akin Fundo De Investimento Imobiliario – FII,FII RIZA AKNCI  ER,FII,Real Estate,REIT - Diversified
RZTR11,Fundo,Fundo De Investimento Imobiliario Riza Terrax,FII RIZA TX CI,FII,Real Estate,REIT - Diversified
TRBL11,Fundo,SDI Logística Rio - Fundo de Investimento Imobiliário - FII,FII SDI LOG CI,FII,Real Estate,REIT - Industrial
SPXS11,Fundo,Fundo De Investimento Imobiliario - Spx Syn Multiestrategia,FII SPX SYN CI,FII,Real Estate,REIT - Diversified
SNCI11,Fundo,Suno Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII SUNO CRICI  ER,FII,Industrials,Consulting Services
SNEL11,Fundo,Fundo De Investimento Imobiliario Suno Energias Limpas,FII SUNO EL CI  ER,FII,Real Estate,REIT - Specialty
SNFF11,Fundo,Suno Fundo De Fundos De Investimento Imobiliario,FII SUNOFOFICI  ER,FII,Real Estate,REIT - Diversified
TEPP11,Fundo,SDI Properties Fundo De Investimento Imobiliario,FII TEL PROPCI,FII,Real Estate,REIT - Residential
TGAR11,Fundo,Fundo Investimento Imobiliario TG Ativo Real,FII TG ATIVOCI,FII,Real Estate,REIT - Diversified
TVRI11,Fundo,BB Progressivo II Fundo de Investimento Imobiliário - FII,FII TIVIO RICI,FII,Real Estate,REIT - Diversified
TOPP11,Fundo,Rbr Top Offices Fundo De Investimento Imobiliario Responsabilidade Limitada,FII TOPP PAXCI  ER,FII,Real Estate,REIT - Diversified
TRXF11,Fundo,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII TRX REALCI,FII,Real Estate,REIT - Diversified
URPR11,Fundo,Urca Prime Renda Fundo De Investimento Imobiliario - FII,FII URCA RENCI,FII,Real Estate,REIT - Residential
VGHF11,Fundo,Valora Hedge Fund Fundo De Investimento Imobiliario - Fii,FII VALOR HECI,FII,Real Estate,REIT - Diversified
VGIP11,Fundo,Valora Cri Indice De Preco Fundo De Investimento Imobiliario,FII VALORAIPCI  ER,FII,Real Estate,REIT - Diversified
VGIR11,Fundo,Valora Re III Fundo De Investimento Imobiliario,FII VALREIIICI  ER,FII,Real Estate,REIT - Diversified
VCJR11,Fundo,Vectis Juros Real Fundo De Investimento Imobiliario - Fii,FII VECTIS  CI,FII,Real Estate,REIT - Diversified
VGRI11,Fundo,Valora Renda Imobiliaria Fundo De Investimento Imobiliario - Responsabilidade Limitada,FII VGRI    CI,FII,Real Estate,REIT - Diversified
VIUR11,Fundo,Vinci Imoveis Urbanos Fundo De Investimento Imobiliario,FII VINCI IUCI,FII,Real Estate,REIT - Diversified
VILG11,Fundo,Vinci Logistica Fundo Investimento Imobiliario FII,FII VINCI LGCI,FII,Financial Services,Asset Management
VINO11,Fundo,Vinci Corporate Fundo De Investimento Imobiliario,FII VINCI OFCI,FII,Real Estate,REIT - Office
VISC11,Fundo,Vinci Shopping Centers Fundo Investimento Imobiliario - Fii,FII VINCI SCCI,FII,Real Estate,REIT - Retail
VRTM11,Fundo,FII VRTM    CI,FII VRTM    CI,FII,Real Estate,REIT - Diversified
WHGR11,Fundo,Whg Real Estate Fundo De Investimento Imobiliario – Fii,FII WHG REALCI,FII,Real Estate,REIT - Specialty
XPCI11,Fundo,Xp Credito Imobiliario ae Fundo De Investimento Imobiliario,FII XP CRED CI,FII,Real Estate,REIT - Mortgage
XPLG11,Fundo,Xp Log Fundo Investimento Imobiliario FII,FII XP LOG  CI,FII,Real Estate,REIT - Industrial
XPML11,Fundo,Xp Malls Fundo Investimentos Imobiliarios,FII XP MALLSCI  ER,FII,Real Estate,REIT - Retail
XPSF11,Fundo,XP Selection Fundo De Fundos De Investimento Imobiliario - FII,FII XP SELECCI,FII,Real Estate,REIT - Mortgage
